,text,label
0,"[ On days when I feel close to my partner and other friends.  á
When I feel at peace with myself and also experience a close á
contact with people whom I regard greatly.]",joy
1,"Every time I imagine that someone I love or I could contact a á
serious illness	 even death.",fear
2,"When I had been obviously unjustly treated and had no possibility á
of elucidating this.",anger
3,"When I think about the short time that we live and relate it to á
the periods of my life when I think that I did not use this á
short time.",sadness
4,"At a gathering I found myself involuntarily sitting next to two á
people who expressed opinions that I considered very low and á
discriminating.",disgust
5,"When I realized that I was directing the feelings of discontent á
with myself at my partner and this way was trying to put the blame á
on him instead of sorting out my own feeliings.",shame
6,"I feel guilty when when I realize that I consider material things á
more important than caring for my relatives.  I feel very á
self-centered.",guilt
7,"After my girlfriend had taken her exam we went to her parent's á
place.",joy
8,When	 for the first time I realized the meaning of death.,fear
9,"When a car is overtaking another and I am forced to drive off the á
road.",anger
10,"When I recently thought about the hard work it takes to study	 and  á
how one wants to try something else.  When I read a theoretical á
book in English that I did not understand.",sadness
11,When I found a bristle in the liver paste tube.,disgust
12,"When I was tired and unmotivated	 I shouted at my girlfriend and á
and brought up negative sides of her character which are actually á
not so important.",shame
13,"When I think that I do not study enough.  After the weekend I á
think that I should have been able to have accomplished á
something during that time.",guilt
14,When I pass an examination which I did not think I did well.,joy
15,"When one has arranged to meet someone and that person arrives á
late	 in the meantime one starts thinking about all that could á
have gone wrong e.g a traffic accident.",fear
16,When one is unjustly accused of something one has not done.,anger
17,When one's studies seem hopelessly difficult and uninteresting.  ,sadness
18,"When one finds out that someone you know is not at all like one á
had thought	 for instance friends who steal and things like that	 á
quite unwarranted.",disgust
19,When one has been unjust	 stupid towards someone else. ,shame
20,When one has neglected or been unjust to a good friend.,guilt
21,Passing an exam I did not expect to pass.,joy
22,"When I climbed up a tree to pick apples.  The angle of the ladder á
I was on did not enable me to get high enough.  This implied á
that the ladder was not very stable.",fear
23,Friends who torture animals.,anger
24,[ Same as in anger.],sadness
25,Friends who torture animals.,disgust
26,[ Same as above - friends who torture animals.],shame
27,[ When excuses are necessary and I get out of doing it myself.],guilt
28,When I had my children.,joy
29,"When my 2 year old son climbed up and sat on the 7th floor á
balcony with his legs hanging out.  He was holding on tightly to á
the upper railing of the balcony but he could have easily lost á
his balance when he sat down.",fear
30,When my partner was attacked and lost three teeth.,anger
31,"When I see children on T.V from areas devastated by drought and á
war.",sadness
32,When I nearly walked on a blindworm and then saw it crawl away.,disgust
33,"When I saw my 18 year old son grab an oxygen mask as he had á
breathing difficulties.  I had a bad conscience because I had not á
stopped smoking.  Medication for the dilation of his breathing á
tubes also caused a sense of guilt in me.",shame
34,"I experience a sense of guilt as my middle son cannot express á
himself like other children	 neither verbally nor in writing.",guilt
35,When my child was born.,joy
36,"It was winter/spring and the ice was melting.  I was far out on a á
jetty and I poked the ice with a long branch to try and break it. á
 The branch went through the ice and I fell in	 the water closed á
in over my head.",fear
37,"Unjust accusations directed at me and my way of acting	 by á
someone close to me.  ",anger
38,Failing an examination.,sadness
39,"A drunkard fell	 started bleeding and wet himself.  Disgust that á
turned into sadness-unpleasantness.",disgust
40,When	 as an adult I have been caught lying or behaving badly.,shame
41,"When I am in an environment or with a person much worse off than á
me	 I realize how privileged I am.",guilt
42,When I saw a person I had not seen for a long time.,joy
43,When	 as a child	 I was nearly knocked down by a car.,fear
44,"When I heard on the radio that the football match in Belgium had á
ended in a catastrophe	 and several people had died.  I could not á
 understand how normal people could behave in such a way.",anger
45,"When I feel lonely	 perhaps because I have to study a lot and I á
am shut up in my appartment.  Nothing happens in particular á
because there is no time for anything else.",sadness
46,"When one learns through the mass media all the wars and killing á
going on in the world.",disgust
47,I lied	 to be precise I cancelled a meeting with a good friend.,shame
48,When one lets friends down,guilt
49,When I was accepted for a course on finance and accounting.,joy
50,"A bus drove over my right leg.  The event itself was not very á
frightening but when I had to wait in the emergency ward for á
three hours and then my leg began to swell	 I was frightened.",fear
51,"At my Summer job	 nobody looked after me in particular and I had á
to learn all on my own.",anger
52,When I was not accepted as a student in finance and accounting.,sadness
53,"When I had just moved into my new appartment I found a ventilator á
in the kitchen.  I was going to clean it when I found that the á
drum was full of mud and slime.  I felt disgusted.",disgust
54,"My elder brother and I have not always had a good relationship á
and I feel ashamed of myself as I do not call him to talk to him á
nowadays.",shame
55,"At my Summer job a new caretaker had been employed who was my age á
 but I preferred going out for lunch with the accounts personnel á
rather than with him.",guilt
56,Passed an exam by 2 points.,joy
57,"In a cottage in a large forest	 I was alone for a while in the á
dark.",fear
58,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger
59,Railway station good-bye.,sadness
60,"I saw a cripple in rags with small children in Italy.  He was á
probably an imposter.",disgust
61,"I told a friend that I was going to a party and he would not á
enjoy himself if he came along.  He understood  that he would not á
have fitted in and there was something in that.",shame
62,"I was the reason behind the break-up of my friend's relationship á
with his girlfriend.  She finished with him.",guilt
63,I passed an exam that I was absolutely certain that I had failed.,joy
64,"On the way back from Denmark with a friend on a small yatch	 á
there was a storm and my friend was blown overboard;  I was very á
scared till I managed to get him back onboard.",fear
65,I locked myself out.,anger
66,I missed the last tram home and had to walk in the pouring rain.,sadness
67,I found some worms in the food and I had obviously eaten some.,disgust
68,"My friend was so intoxicated that the police came and took him á
away	 and they later contacted his parents.",shame
69,I hapened to overhear something which I was not meant to hear.,guilt
70,When I won a trip to Greece in a competition.,joy
71,"When I am out in the dark and a suspicious looking character á
comes towards me.",fear
72,"At work	 when an elderly man complained unjustifiably about me and á
distrusted me.",anger
73,When I had not understood anything after a lecture.,sadness
74,When an alcoholic stood dribbling over a food counter.,disgust
75,"When my friend and I were discussing the good looks of a guy we á
realized that he had been listening.",shame
76,"When I complained about a colleague to the manager and he told á
her that someone had complained; this colleague came to me á
believing that I liked her.",guilt
77,"At a friend's birthday party with some of my closest friends.  It á
was all very pleasant and one could say that I was happy to have á
such good friends.",joy
78,"On the way home one Friday night in the heavy rain the car á
acquaplanned.  I lost contact with the road surface for a few á
seconds.",fear
79,Mad at my dad.,anger
80,A case of unrequited love.,sadness
81,A bad smelling cucumber.,disgust
82,Nearly caught masturbating.,shame
83,I do not help out enough at home.,guilt
84,I felt very happy when I won the football pools.,joy
85,"When I flew from Athens to Copenhagen after a holiday.  The plane á
was caught in a storm and it began to shake and I thouhght that á
we were going to crash.",fear
86,When someone stole my bike.,anger
87,"When I saw the list of books to read for an acccouting course	 I á
thought "" Oh God how will I ever manaage it!""",sadness
88,"It was when I read a newspaper article on the future and they á
foresaw that we would be eating frog-burgers by the year 2000.  á
An illustration showed a frog between two pieces of bread.",disgust
89,"When I dropped a bottle in the state liquor store and everyboby á
started laughing.",shame
90,"When I was young - 14	 I pinched from a store and was caught.  á
The store then contacted my parents.",guilt
91,"When the whole family gets together for a one week holiday.  á
Everybody feels free and the trip is well planned.  It works out á
well and we enjoy ourselves.",joy
92,"When I could not find my 2 year old daughter.  I ran and looked á
for her everywhere and could not find her.  (I finally found her	 á
she had gone to bed to sleep)",fear
93,When friends try to put me down or hurt me.  ,anger
94,Marriage crises.  Boredom.,sadness
95,When someone makes advances that one does not want.,disgust
96,The discovery that one has only thought of oneself.,shame
97,When I spanked a child in anger and later regretted it terribly.,guilt
98,When I passed the first examination that I had to repeat.,joy
99,"When I drove to Stockholm for the first time and drove off the á
Stora Hissingen road at the wrong exit.",fear
100,When my boyfriend went away for a month long holiday without me.,anger
101,"Last year when I worked during the Summer holidays and studied á
at the same time for an examination I had to repeat; my boyfriend á
went to Greece for a holiday for a month.",sadness
102,When a dog is left whining outside a shop.,disgust
103,"When I promised to help a friend over a weekend and did not keep á
the promise.",shame
104,When I realized that I had three more examinations to take.,guilt
105,"The day I was told that I had been accepted as a student of á
economics.",joy
106,"While taking a short cut through the Vasa park	 I was surrounded á
by three people who tried to steal my money.  I was scared and á
was saved only by the appearance of other people.",fear
107,"At a restaurant I observed how the gypsies tried to get money by á
cheating the foreigners i.e non Swedish speaking.  My anger had á
nothing to do with hatred against foreigners	 but it was an á
expression of the anger I feel when I see people being used .",anger
108,"At the begining of a new course one is afraid of encountering á
problems one can not manage.  Thoughts revolve around failing á
the subject and the consequences it would have for the future.",sadness
109,"While walking in town I noticed how the police harrassed a man á
who was under the influence of alcohol.  They terrified him with á
the thought of arrest by driving close behind him on a pedestrian á
street.  My disgust was directed at the gestures and the facial á
expressions of the policemen; they seemed to be enjoying á
themselves.",disgust
110,"When my boyfriend revealed that he knew that I had discovered á
things of an important nature about him	 I felt ashamed as I had á
not mentioned it earlier.",shame
111,"When I am dishonest to a friend to whom I am very close.  I á
feel guilty because I know that he gives a different version of á
the truth and I have not corrected these mistakes	 and he is á
aware that I know that they are wrong.",guilt
112,"When I found out that I had passed the last two exams by a á
margin of three marks.",joy
113,When my father was ill and was waiting for the results of his tests.,fear
114,"When I got caught in the pouring rain last Thursday and did not á
have a raincoat on me.",anger
115,When I failed an exam.,sadness
116,"At a Sm÷rgasbord table	 a man mixed differnet kinds of picked á
herrings with fruit salad.",disgust
117,"When I had not prepared my contribution to the group as á
thoroughly as the other members	 with the result that the á
overall result was poor.",shame
118,"When my father and I worked on the house just after he had á
recovered from illness	 I was rather lazy.  This meant that he á
had to work hard and was not very well later.",guilt
119,"When I gave birth to my son and saw that he was alive and that I á
had managed it well.  He was born a month too early with a á
malfunctioning lung.  This happened a year ago.",joy
120,"When I found out that my father had lung cancer and they did not á
know how long he would live.",fear
121,"When a colleague asked me for help at work	 despite the fact á
that he had more time to do it than I had.",anger
122,"When I did not get the salary increase that I had been expecting á
and understood how little one's work was appreciated.",sadness
123,When I was weeding the garden I found a lizard in my hand.,disgust
124,"When I met a friend whom I had not seen for a long time and á
heard all about her troubles	 I thought that I should have got á
in touch with her earlier.",shame
125,"I got angry at my mother for something trivial.  We were in a á
bad mood because my father was very ill and I knew that my mother á
really needed support.  I had reacted wrongly.",guilt
126,"New year's eve 1983/1984	 I met my girlfriend.  We stood on the á
steps outside her parents home and I kissed her for the á
first time.",joy
127,"When I was stopped by plain clothes policemen because the car I á
was driving had overturned on the Avenue.  I had been driving too á
fast	 and I was afraid when I was stopped	 questionned and then á
toild to go.  The situation ended happily since there were no á
consequences.",fear
128,"The editor changed the heading of an article that I had written.  á
He considered the heading to be derogatory towards the person I had written á
about.",anger
129,"A close acquaintance of the family died of lung cancer.  á
Although it was expected	 I still felt depressed.",sadness
130,"When I saw a picture	 in the Gothenburg Post	 of a totally á
demolished car with two fatally injured passengers.  The car was á
so badly damaged that they couldn't get the bodies out at the á
scene of the accident.",disgust
131,"One night I had a sexual intercourse with another man.  My sexual á
desire and my curiosity had made me jump into bed with him.  I am á
ashamed of myself now.",shame
132,"Due to laziness	 I failed the term studies completely at á
University.  I also wanted	 to some extent	 to protest against my á
parents' expectations.",guilt
133,When I got the loan for my studies.,joy
134,"I met intoxicated people with dubious intentions in a back alley á
one Wednesday night.",fear
135,"On the T.V I saw a news feature on South Africa.  A policeman      á
attacked a group of black people with a whip.",anger
136,"The thought of having to read a boring book of 400 pages in á
English.",sadness
137,Grovelling people.,disgust
138,My inability to assert myself positively in a group.,shame
139,I experience feelings of guilt because I do not study enough.,guilt
140,"Observing someone in the cafeteria noisily gulping in his food	 á
having extremely bad manners.",disgust
141,"I guess I have often been ashamed after having talked badly of á
other people.",shame
142,Having been angry and unpleasant towards my parents.,guilt
143,"When my sister - after a history of one abortion and one á
stillbirth - gave birth to a perfectly healty boy.",joy
144,"When my sister had the still born child	 she was emotionally very á
deep down	 and it took her a long time to recover.",fear
145,"We were starting a student project	 and the teacher we talked to á
was very negative and not very helpful.",anger
146,When my boyfriend openly let me down	 preferring another girl.,sadness
147,"I felt some disgust for my boyfriend for a time	 after he had á
left me.",disgust
148,Can't think of any.,shame
149,"Before an accident	 my aunt offered me the front seat of the car	 á
next to the driver. I declined	 she took that seat and was killed á
there when the car crashed.",guilt
150,"Unexpected visit by a close friend	 whom I hadn't seen for half a á
year.",joy
151,"I wandered by mistake into the safety zone of a shooting range	 á
and was shot at.",fear
152,Being treated unfairly.,anger
153,Breaking up with a girl.,sadness
154,Nothing.,disgust
155,None.,shame
156,Little contact with my father before he died.,guilt
157,"When I was accepted as a student at the college	 not having á
thought it possible.",joy
158,"When I was the first to arrive at the scene after an accident	 á
and found that a close school friend had been killed.",fear
159,"I was accused of having done something	 which I hadn't and got á
very angry.",anger
160,When my grandmother died.,sadness
161,Not applicable.,disgust
162,"A couple of years ago during the summer holiday	 I was fishing at á
a lake with my husband.  Suddenly it started raining while the á
sun was still shining. I experienced a feeling of joy	 happiness á
and fulfillment.  the whole nature was full of music.",joy
163,"I was alone at home	 in bed reading a womens' magazine in which á
there were storiees of paranormal experiences.  My leg was á
itching and I stretched my hand to scratch and I felt another á
strange hand. (later I realized that it was the corner of the á
blanket)",fear
164,"I went to a lecture and once again it had been cancelled	 this á
was the second time.  One had a negative attitude towards the á
lecturer.á
",anger
165,"I heard that a former superior of mine had died	 I was later at á
home home reading about it in the newspaper and I thought of our á
interaction and how it was no longer possible.  The limited scope á
of human life is sad.",sadness
166,"In the tram there was a fat	 sickly looking woman in front of me á
who was asking for directions in a thick voice.  When she got up to á
go a disgusting smell of urine came from her.  I felt that I á
would choke.",disgust
167,"When we were at home	 my husband and I	 he made a remark about á
something I had done	 in a perfectly friendly manner.  My deed á
had been unjust and I knew that my husband was right	 therefore my á
sense of shame.",shame
168,"I made a remark to my sister concerning her attitude to men	 the á
way she talked and I compared her to an acquaintance of mine.  á
Later	 the same evening	 my sister looked sad.  I felt guilty á
about her sadness.",guilt
169,"I had a summer job in Sweden	 and my boyfriend came to meet me on á
my birthday.",joy
170,"I went to practice in Sweden during summer	 and I was afraid that á
I would not do well.",fear
171,"In the holiday cottage of our association	 two of my pals came to á
wake me up early one morning by bringing a radio played at the á
highest volume into my room - it was the morning service at its á
loudest.",anger
172,My grandmother died suddenly last summer.,sadness
173,"My superior at the summer job swindled customers as much as he á
could	 and once put me in a difficult situation after which I á
could not but detest him.",disgust
174,"Once I arrived two hours late to my work place (a bank) and I was á
still feeling feeble and tired.",shame
175,"Our association had Polish visitors and when they were going back á
by boat I did not go to see them off (I am the chairman of the á
association).",guilt
176,"I was told quite unexpectedly that one wanted me to become the á
vice-chairman of our student organisation.  I was really á
surprised and joy was the first emotion I felt	 though behind it á
there was worry - how shall I succeed ?",joy
177,"Our tutorial group was soon to be divided	 and we got a list of á
names of freshmen	 out of which five were to be in my group.  We á
read the names and then each group went its own way to a seminar á
room.  I wondered how I would cope with the new situation and if á
I would succeed as a group leader.",fear
178,"We were in a disco and the evening was not at all pleasant.  á
Despite my not knowing why	 I was angry with my companion.  I let á
him feel my bad humour as I cannot hide my feelings.",anger
179,"My grandmother died	 and my mother called me one sunday morning á
in the Autumn.  The way my mother told me about it	 I hated her á
at that moment.  She sounded as if she had been waiting for the á
death of my grandmother.  I had lost a person close to me.  I á
felt guilty too as I had been bad to my grandmother of late.  I had not á
remained calm when she no longer understood everything so well.",sadness
180,"At the underground station	 a drunkard came to speak to me.  He á
tried to ask me something but I did not answer so he began to á
speak about me with his companion.  I detested this dirty á
growling man.",disgust
181,"I was worried by a task related to my studies which had to be á
done in groups of two.  I was talking about it to my friends when á
I said something negative	 in too abrupt a manner	 concerning my á
work partner.  I did not quite mean what I said and I felt á
ashamed at having been mean enough to criticize him as he is also á
a friend of mine.",shame
182,"I had told my boyfriend that I did not want to go on with our á
relationship.  I knew that I was important to him but I wanted to á
be free.  I saw that this was difficult for him but I remained á
firm and did not change my mind.",guilt
183,"Last night I had a chat with a fellow student.  I had known her á
for about half a year	 and for the first time we were speaking á
""the same language""- meaning an inspiring discussion and á
encounter.",joy
184,"[ I sometimes quarrel with my mother because she blames me	 á
though I have not in any way been connected to some events.]",anger
185,"After hearing about the death of my grandfather.  First I could á
not believe it	 but later I wept and felt the situation was á
hopeless.  I felt lonely and wanted to be consolated.",sadness
186,"In the evening	 while I was watching TV	 my little brother came á
in and started eating food he had brought from the kitchen while á
I was trying to concentrate on the program.",disgust
187,"My little brother was arrested by the police at the railway station after á
he had drunk some beer.",shame
188,"At my temporary job	 I have to restrict  others' actions and make á
them obey me	 and this very often gives me  a feeling of guilt.  I á
wish there could be some other way of acting.",guilt
189,"I met a dear friend of mine after a long time.  I expressed my feelings á
in our own usual way	 by mutual scolding and abusing (with á
complete understanding) and by touching	 patting and taking the á
hand of the other person	 etc...",joy
190,"I felt fear of the purest kind after a car accident.  The á
incident and images of horror kept coming back to my mind.  I á
wondered what could have happened to my sister	 my friend and me	 á
though nothing very serious actually happened.",fear
191,"Two boys whom I know were telling me	 in an indecent manner	 how á
they had teased a young and shy girl I know.  They had despised á
her conviction	 scorned and touched her.  I got very angry and á
did not try to conceal it and gave it back to them.",anger
192,"My sweetheart left me	 or rather we decided to break it off by á
mutual consent.  The consequences were - unrestrained weeping	 á
feelings of loneliness	 hopelessness and disconsolation.  I felt á
that I should find a friend	 to talk to joyfully and to forget.",sadness
193,"Out of sheer curiosity	 I went to see a pornographic movie in á
Copenhagen.  The room was full of men	 who panted and á
masturbated.  Very disgusting.",disgust
194,"After having quarelled unnecessarily and without any reason	 and á
having been stupidly cross in every way.",shame
195,[ Do not know.],shame
196,Forced to fill in a questionnaire.,guilt
197,When I won a tennis match.,joy
198,When my dog ran out on thin ice last spring.,fear
199,"When my tennis match was interrupted because a kid cycled right á
into the court.",anger
200,[ No response.],sadness
201,[ No response.],disgust
202,[ No response.],shame
203,[ No response.],guilt
204,"Celebrations on the graduation day with the orchestra playing in á
the garden ( I am a part of this orchestra).",joy
205,Risk of being involved in a fight after a party.,fear
206,"I had a very heavy work load and two colleagues	 whom I have á
nothing against	 disturbed me by ""terror ringing""	 i.e á
continously interrupting me by telephoning.",anger
207,After an exam which I failed.,sadness
208,[ Normally I do not feel disgusted.],disgust
209,"When I overtook a car on the mainroad	 misjudging the distance of á
an oncoming car and this resulted in tooting and flashing from á
the other driver (we could have collided)	 and I had an á
acquaintance in the car with me.",shame
210,"I saw a neighbour	 from the same appartment block as me	 lying    á
on the road.  He could have been injured or ill.  I kept 20 á
metres away and did not go to help him.",guilt
211,"When I met an old schhol friend (school love) who works in á
Sk+vde.",joy
212,"When I was cycling to school	 I nearly got knocked down by a car á
which (overtook me too closely) did not give me any swerving space.",fear
213,"When I was deputy manager during the Summer	 certain deputies á
took liberties	 more than what was normal.",anger
214,"When I realized that my girlfriend	 whom I like	 and I were going á
to separate.",sadness
215,Dog dirt which thaws in the spring.,disgust
216,When I forgot my mother's birthday.,shame
217,[ Can not think of anything just now.],guilt
218,Passed the last exam.,joy
219,Was nearly knocked down by a car.,fear
220,"I reached the bus stop and realized that I had forgotten my bus á
pass.",anger
221,"My current work load is too much.  The feeling comes back from á
time to time.",sadness
222,[ Can not think of any situation.],disgust
223,[ No response.],shame
224,[ No response.],guilt
225,When my one year old son gives me a spontaneous kiss.,joy
226,When someone close to me is travelling by car and is delayed.,fear
227,When someone does something wrong which affects me negatively.,anger
228,When I think about my parents getting old.,sadness
229,[ Can not remember.],disgust
230,[ No response.],shame
231,"I do not have the time for other people's problems.  My á
mother-in-law is sometimes depressed and I do not have the time	 á
the desire or the strength to help.",guilt
232,"An ex-colleague asked me if I was interested in working in their á
accounts bureau.  They needed ""clever people"" and he had á
""immediately thought of me.""",joy
233,"I was driving and a deer suddenly appeared in front of the á
car when there was a lot of traffic behind me.",fear
234,I saw a report on T.V news on apartheid in South Africa. ,anger
235,[ No response.],sadness
236,[ No response.],disgust
237,[ No response.],shame
238,[ No response.],guilt
239,When my girlfriend became pregnant.,joy
240,When I nearly collided with another car.,fear
241,The time when someone let the air out of the tyres of my cycle.,anger
242,When I read a lot and did not remember anything.,sadness
243,[ No response.],disgust
244,[ No response.],shame
245,The time that I had to put my dog to sleep.,guilt
246,[ No response.],joy
247,[ No response.],fear
248,[ No response.],anger
249,Long illness.,sadness
250,When I passed an exam.,joy
251,"When I was travelling by tram	 I tripped and fell against the á
door.  I thought that I was going to fall out.",fear
252,When I missed the tram after having run for it.,anger
253,The inability to read a book at college.,sadness
254,If a guy one is not interested in makes advances.,disgust
255,I drink wine too often.,shame
256,I do not study enough as I do not understand it properly.,guilt
257,"I worked at a lawyer's office during Summer and I got a very á
good reference from him.",joy
258,"I had been watching a triller a dark night in the country and I á
had to go the outside toilet on my own. ",fear
259,"When I am accused of something I have not done	 I get unbelievably á
angry.",anger
260,"When I began to read a thick book	 which I had a limited time to á
read.  Also when I have a lot of work to do and I cannot keep up.",sadness
261,Someone vomited on the street.,disgust
262,"I can not think of any incident when I have felt very ashamed.  á
There are small incidents that I am ashamed of	 for instance	 á
not sending money to the children in Ethiopia.",shame
263,"I had lunch with my ex-boyfriend and did not mention it to my á
fiancee.  I felt guilty despite the fact that I felt nothing for á
my ex-boyfriend.",guilt
264,When I was finally qualified for my profession.,joy
265,Someone attacked me with a knife.,fear
266,Someone drove into my car and then denied that it had happened.,anger
267,When I was told that my friend's wife had cancer.,sadness
268,When I saw a dog which had been knocked down by a car.,disgust
269,When I boxed my child's ears.,shame
270,When I was fined for speeding.,guilt
271,I stopped working (had a boring job).,joy
272,"I was going home by car late one night when it was cold	 dark and á
windy.  I became rather panicky on the way to my house.",fear
273,Quarrel in the family.,anger
274,"When I am alone in a room with no contact with anyone - á
loneliness drains me.",sadness
275,When I was on holiday someone vomited in front of me.,disgust
276,Emptied a bucket of water in a hospital.,shame
277,When I feigned sick leave from work.,guilt
278,When I get a hug from someone I love.,joy
279,"I was driving very fast on a small road and I met an oncoming car á
in a right handed bend.  The other driver was on his own side of á
the road and I had to skid out of it to avoid a collision.  It á
was dark.",fear
280,"My car had been towed away by the traffic police because it had á
been wrongly parked.  However the sign had been put up only after á
I had already parked.",anger
281,After an operation I had to stay in bed for a long time.,sadness
282,"I was forced to stay in the canteen and eat the food that I had á
not asked for but got it anyway.",disgust
283,When I did not buy what I had promised to.,shame
284,"By mistake I took a book from the library which was not supposed á
to be loaned out.",guilt
285,When I won an unexpected sum of money.,joy
286,"My 2 year old daughter disappeared in a moment of inattention; I á
was responsible for her.",fear
287,"A colleague asked me for some advice and as he did not have á
enough confidence in me he asked a third person.",anger
288,"I wanted to be pregnant and did not succeed	 so I was depressed    á
at every menstruation.",sadness
289,"In a warm bus full of people	 someone vomited and the whole bus á
stank.",disgust
290,"I complained about a colleague's behaviour as she goes back on á
her word	 is often absent and is irresponsible.  I found out that á
she was an alcoholic and was trying to fight againt her á
addiction.",shame
291,"I spoke to my mother on the phone.  She had skin cancer and was á
waiting to be operated.  I forgot to ask her the date of the á
operation and just before finishing our conversation she gave me á
the date in passing. ",guilt
292,"When I was at a party I met an old friend from an adult á
education course.  We had not met for 2 years but had both thought á
a lot about each other.  A wonderful experience.á
",joy
293,"When I was cycling through the park late one night	 two people á
jumped out of the woods and tried to stop me.  There were á
shouting something at the same time.",fear
294,"When close relatives tried to dissuade me from studying á
Psychology because of its low status.",anger
295,"I had a long discussion on politics with an acquaintance.  He á
was more knowledgeable than me and I failed to explain my point á
of view and was misunderstood so I felt depressed and left.",sadness
296,"When I read a newspaper article on a young girl who had been á
raped and assaulted one night by several men when she was unconscious.",disgust
297,"My mother revealed personal details about me and the á
negative aspects of my character to other people when I was á
present but unable to defend myself.",shame
298,"I was unfaithful to my partner once when he was working abroad á
for a long period.",guilt
299,When I recently got an appartment in central Gottenburg.,joy
300,When I saw a large spider crawling up the wall.,fear
301,"My employer took too many aspirins for a bad back and also drank á
an enormous amount of spirit.  This was dangerous  and he did á
not understand that he had done anything wrong.",anger
302,When I left New York	 and all my family and my friends behind me.,sadness
303,"When I slept with a guy because my best friend wanted me to.  á
He had never had intercourse with anyone and had a terrible á
complex about it.",disgust
304,"When I dated a close girlfriend's boyfriend a few times. He told á
me that it was over between them and I accepted it.  When she á
found out she finished our friendship.",shame
305,"When I broke off with my boyfriend after three years.  It was á
quite unexpected for him and there was no particular reason for á
the break up	 such as someone else.",guilt
306,"When my son returned from mountaineering - healthy in body and á
soul.",joy
307,"When one meets new people with whom one is forced to collaborate á
with.",fear
308,"The sports fishermen who catch gulls instead of fish with their hooks. á
  It is often a mistake but it makes me angry.",anger
309,I feel sad about an event I can not influence.,sadness
310,"When a member of the family complains about the food that is á
served	 it disgusts me.",disgust
311,[ Cannot recall any incident when I felt shame.],shame
312,"I have chosen to put my son in a private school were the á
examination marks are low.  Every time that he gives me his term á
results I am left with a sense of guilt.",guilt
313,"When I was informed that I had been accepted as a student of á
Psychology.",joy
314,"When I was in a little fishing boat and we ran into hard weather á
in the open sea.",fear
315,"When I found out that the guy I was dating at a particular time á
had a steady relationship going on with someone else for a long á
time.",anger
316,I felt sad and depressed when I heard that our cat had died.,sadness
317,"When I was working as a nurse in a mental hospital	 a patient ate á
up the contents of another patient's spitoon.",disgust
318,"At primary school	 when I vomited in front of others in the middle  á
of a lesson.",shame
319,"I arrived an hour late for an important meeting ( I had á
misunderstood the time).",guilt
